,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
662,2015004742.0,1.0,1.0,1.0,4000.0,145.0,240.0,,18380063.0,,,,,11.0,2015.0,6.0,37.0,4.0,1.0,6.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206535.0,748200.0,35.066444193279125,32.82846650052461
672,2015004842.0,1.0,1.0,2.0,4000.0,1085.0,,9999.0,,,,,,11.0,2015.0,8.0,57.0,4.0,1.0,1.0,3.0,1.0,9.0,0.0,0.0,0.0,0.0,5.0,11.0,9.0,9.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,200290.0,747230.0,34.99976927425992,32.819628872199964
737,2015005338.0,1.0,1.0,1.0,4000.0,210.0,476.0,,18380118.0,,,,,11.0,2015.0,4.0,57.0,4.0,1.0,4.0,3.0,2.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,205652.0,746958.0,35.05703245951695,32.8172567785303
743,2015005385.0,1.0,1.0,1.0,4000.0,1233.0,,,,,,,,11.0,2015.0,11.0,59.0,4.0,1.0,6.0,3.0,2.0,3.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,203200.0,744021.0,35.03090045768883,32.79074057718516
752,2015005506.0,1.0,1.0,2.0,4000.0,512.0,,76.0,,,,,,11.0,2015.0,7.0,47.0,4.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,6.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199015.0,747203.0,34.98615457608331,32.81936242131534
766,2015005597.0,1.0,1.0,1.0,4000.0,974.0,564.0,,17940431.0,,,,,11.0,2015.0,8.0,91.0,4.0,5.0,2.0,3.0,1.0,0.0,3.0,2.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,3.0,4.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,196766.0,743985.0,34.96221706986305,32.79030198937315
814,2015005919.0,1.0,1.0,2.0,4000.0,1084.0,,9999.0,,,,,,11.0,2015.0,12.0,67.0,4.0,5.0,3.0,2.0,3.0,9.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,201325.0,743768.0,35.01088934979739,32.78842997082233
866,2015006286.0,1.0,1.0,2.0,4000.0,512.0,,86.0,,,,,,11.0,2015.0,6.0,65.0,4.0,1.0,1.0,2.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,198868.0,747255.0,34.984583663410255,32.81982855129519
882,2015006332.0,1.0,1.0,2.0,4000.0,610.0,,9999.0,,,,,,11.0,2015.0,3.0,67.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,198301.0,743384.0,34.97861710519409,32.784913447876065
885,2015006363.0,1.0,1.0,1.0,4000.0,314.0,,,,,,,,11.0,2015.0,5.0,65.0,4.0,1.0,7.0,3.0,2.0,0.0,2.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,200527.0,746682.0,35.00231130565111,32.81469173969473
