,pk_teuna_fikt,sug_tik,THUM_GEOGRAFI,SUG_DEREH,SEMEL_YISHUV,REHOV1,REHOV2,BAYIT,ZOMET_IRONI,KVISH1,KVISH2,KM,ZOMET_LO_IRONI,YEHIDA,SHNAT_TEUNA,HODESH_TEUNA,SHAA,SUG_YOM,YOM_LAYLA,YOM_BASHAVUA,HUMRAT_TEUNA,SUG_TEUNA,HAD_MASLUL,RAV_MASLUL,MEHIRUT_MUTERET,TKINUT,ROHAV,SIMUN_TIMRUR,TEURA,MEZEG_AVIR,PNE_KVISH,SUG_EZEM,MERHAK_EZEM,LO_HAZA,OFEN_HAZIYA,MEKOM_HAZIYA,KIVUN_HAZIYA,MAHOZ,NAFA,EZOR_TIVI,MAAMAD_MINIZIPALI,ZURAT_ISHUV,STATUS_IGUN,X,Y,lon,lat
12943,2015098675.0,1.0,1.0,1.0,4000.0,323.0,309.0,,8050132.0,,,,,11.0,2015.0,2.0,78.0,4.0,5.0,3.0,3.0,2.0,1.0,0.0,1.0,1.0,3.0,3.0,7.0,4.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200849.0,746215.0,35.005759016520095,32.81048636105772
13024,2015099346.0,1.0,1.0,2.0,4000.0,399.0,,9999.0,,,,,,11.0,2015.0,4.0,65.0,3.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199292.0,747030.0,34.98911631828306,32.817807626572375
13054,2015099592.0,1.0,1.0,2.0,4000.0,215.0,,9999.0,,,,,,11.0,2015.0,1.0,7.0,4.0,5.0,5.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,3.0,206756.0,747474.0,35.06881436785931,32.82192281914767
13078,2015099823.0,1.0,1.0,1.0,4000.0,602.0,483.0,,14740412.0,,,,,11.0,2015.0,11.0,53.0,4.0,1.0,2.0,3.0,2.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200962.0,741742.0,35.00705467781519,32.77015563291784
13095,2015099910.0,1.0,1.0,2.0,4000.0,526.0,,9999.0,,,,,,11.0,2015.0,4.0,48.0,4.0,1.0,4.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,198224.0,748624.0,34.977675233801385,32.83216034229876
1,2018000018.0,1.0,1.0,1.0,4000.0,896.0,825.0,,10210522.0,,,,,11.0,2018.0,6.0,67.0,4.0,1.0,1.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200041.0,746160.0,34.9971326876686,32.809976448037034
57,2018000441.0,1.0,1.0,2.0,4000.0,413.0,,32.0,,,,,,11.0,2018.0,8.0,87.0,4.0,5.0,4.0,3.0,2.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199114.0,747057.0,34.98721496334442,32.81804779870742
58,2018000458.0,1.0,1.0,2.0,4000.0,810.0,,18.0,,,,,,11.0,2018.0,3.0,59.0,4.0,1.0,2.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,11.0,9.0,9.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,199656.0,746060.0,34.993023981059736,32.809067888077614
75,2018000625.0,1.0,1.0,2.0,4000.0,413.0,,51.0,,,,,,11.0,2018.0,1.0,45.0,4.0,1.0,3.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198947.0,747129.0,34.985430066423234,32.818693905967365
85,2018000697.0,1.0,1.0,1.0,4000.0,1099.0,1116.0,,16910623.0,,,,,11.0,2018.0,3.0,78.0,4.0,5.0,1.0,3.0,18.0,3.0,0.0,3.0,1.0,2.0,3.0,6.0,1.0,1.0,3.0,1.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,202501.0,743037.0,35.02345643642738,32.7818573646694
92,2018000763.0,1.0,1.0,2.0,4000.0,690.0,,145.0,,,,,,11.0,2018.0,7.0,94.0,4.0,5.0,4.0,3.0,7.0,3.0,0.0,1.0,1.0,2.0,3.0,4.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,197357.0,746315.0,34.96847058962675,32.81132334021969
102,2018000817.0,1.0,1.0,1.0,4000.0,309.0,306.0,,290211.0,,,,,11.0,2018.0,3.0,36.0,2.0,1.0,6.0,3.0,2.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201239.0,745528.0,35.00993676298053,32.80429829741804
134,2018001143.0,1.0,1.0,2.0,4000.0,191.0,,75.0,,,,,,11.0,2018.0,2.0,20.0,4.0,5.0,5.0,3.0,8.0,1.0,0.0,3.0,1.0,3.0,3.0,4.0,1.0,1.0,2.0,1.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,203042.0,743868.0,35.02921647560635,32.78935864029731
157,2018001282.0,1.0,1.0,2.0,4000.0,215.0,,20.0,,,,,,11.0,2018.0,6.0,63.0,4.0,1.0,5.0,3.0,4.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206901.0,747385.0,35.07036402533601,32.821121983207384
222,2018001800.0,1.0,1.0,2.0,4000.0,865.0,,9999.0,,,,,,11.0,2018.0,1.0,45.0,4.0,1.0,5.0,3.0,1.0,0.0,3.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,200228.0,746520.0,34.999121919330705,32.813225812265486
225,2018001851.0,1.0,1.0,2.0,4000.0,1145.0,,15.0,,,,,,11.0,2018.0,6.0,71.0,4.0,1.0,6.0,3.0,8.0,3.0,0.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,2.0,2.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,202482.0,744102.0,35.023234161407125,32.791460094921426
235,2018001918.0,1.0,1.0,2.0,4000.0,413.0,,56.0,,,,,,11.0,2018.0,4.0,88.0,2.0,5.0,5.0,3.0,2.0,2.0,0.0,1.0,1.0,4.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198901.0,747149.0,34.98493840993526,32.81887338293893
267,2018002180.0,1.0,1.0,2.0,4000.0,6501.0,,9999.0,,,,,,11.0,2018.0,10.0,81.0,4.0,5.0,2.0,2.0,11.0,9.0,0.0,0.0,0.0,0.0,5.0,6.0,9.0,9.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,2.0,201127.0,745458.0,35.008742339642424,32.803665252263684
275,2018002245.0,1.0,1.0,2.0,4000.0,1022.0,,5.0,,,,,,11.0,2018.0,12.0,75.0,4.0,5.0,4.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,6.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,201270.0,744473.0,35.01028841837831,32.794785983544
276,2018002257.0,1.0,1.0,2.0,4000.0,460.0,,2.0,,,,,,11.0,2018.0,9.0,74.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,3.0,196968.0,744210.0,34.964367997299114,32.79233493901867
309,2018002480.0,1.0,1.0,2.0,4000.0,602.0,,9999.0,,,,,,11.0,2018.0,4.0,54.0,4.0,1.0,4.0,2.0,1.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,3.0,200961.0,741737.0,35.00704410455186,32.77011053141253
319,2018002606.0,1.0,1.0,2.0,4000.0,309.0,,14.0,,,,,,11.0,2018.0,3.0,50.0,4.0,1.0,6.0,3.0,8.0,1.0,0.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,6.0,2.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200857.0,746204.0,35.00584465771061,32.81038731087053
338,2018002766.0,1.0,1.0,1.0,4000.0,1450.0,975.0,,16960411.0,,,,,11.0,2018.0,1.0,57.0,4.0,1.0,6.0,3.0,18.0,0.0,3.0,3.0,1.0,5.0,3.0,1.0,2.0,2.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199073.0,742664.0,34.986873624084105,32.77843585561363
391,2018003186.0,1.0,1.0,1.0,4000.0,367.0,442.0,,18380735.0,,,,,11.0,2018.0,12.0,46.0,4.0,1.0,5.0,3.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,204547.0,745187.0,35.045261276374454,32.80127340062897
398,2018003249.0,1.0,1.0,2.0,4000.0,367.0,,9999.0,,,,,,11.0,2018.0,1.0,32.0,4.0,1.0,1.0,3.0,4.0,1.0,0.0,4.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,204872.0,746137.0,35.048716206529825,32.80984382480298
400,2018003256.0,1.0,1.0,2.0,4000.0,726.0,,25.0,,,,,,11.0,2018.0,5.0,29.0,4.0,1.0,6.0,3.0,1.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198037.0,747189.0,34.97571120782022,32.81921754299276
439,2018003568.0,1.0,1.0,1.0,4000.0,628.0,625.0,,14080411.0,,,,,11.0,2018.0,10.0,63.0,4.0,1.0,1.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199048.0,743960.0,34.986578303070935,32.790121302897
441,2018003571.0,1.0,1.0,1.0,4000.0,564.0,974.0,,17940431.0,,,,,11.0,2018.0,3.0,47.0,1.0,1.0,7.0,3.0,2.0,0.0,3.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196766.0,743985.0,34.96221706986305,32.79030198937315
458,2018003683.0,1.0,1.0,2.0,4000.0,1068.0,,9999.0,,,,,,11.0,2018.0,5.0,17.0,4.0,5.0,5.0,3.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,4.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,202446.0,741304.0,35.02290107991904,32.7662301558594
538,2018004221.0,1.0,1.0,2.0,4000.0,1084.0,,9999.0,,,,,,11.0,2018.0,5.0,34.0,4.0,1.0,5.0,2.0,3.0,0.0,3.0,3.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,201325.0,743768.0,35.01088934979739,32.78842997082233
564,2018004446.0,1.0,1.0,2.0,4000.0,793.0,,9999.0,,,,,,11.0,2018.0,9.0,85.0,4.0,5.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199878.0,743272.0,34.99545316990212,32.78393276635598
599,2018004759.0,1.0,1.0,1.0,4000.0,215.0,195.0,,11670122.0,,,,,11.0,2018.0,4.0,79.0,4.0,5.0,3.0,2.0,1.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,1.0,4.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,207561.0,746985.0,35.077417222414525,32.817522571676214
603,2018004773.0,1.0,1.0,1.0,4000.0,847.0,859.0,,160525.0,,,,,11.0,2018.0,10.0,65.0,4.0,1.0,2.0,3.0,2.0,0.0,3.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200066.0,746475.0,34.997393040270474,32.812817204894806
658,2018005152.0,1.0,1.0,1.0,4000.0,1012.0,303.0,,8120132.0,,,,,11.0,2018.0,8.0,54.0,4.0,1.0,4.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,4.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,201290.0,745244.0,35.010486841854444,32.80173834421553
672,2018005197.0,1.0,1.0,2.0,4000.0,625.0,,33.0,,,,,,11.0,2018.0,5.0,41.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,5.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,198883.0,744975.0,34.98479441156695,32.79927037103497
715,2018005649.0,1.0,1.0,1.0,4000.0,663.0,625.0,,410423.0,,,,,11.0,2018.0,4.0,72.0,4.0,1.0,2.0,3.0,1.0,0.0,3.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,198889.0,744547.0,34.9848679529722,32.79541125584221
720,2018005673.0,1.0,1.0,1.0,4000.0,1391.0,1396.0,,18380635.0,,,,,11.0,2018.0,11.0,52.0,4.0,1.0,2.0,3.0,3.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201483.0,742542.0,35.01259971443178,32.77737781739678
763,2018006025.0,1.0,1.0,2.0,4000.0,768.0,,29.0,,,,,,11.0,2018.0,7.0,66.0,4.0,1.0,4.0,3.0,4.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200613.0,741636.0,35.003332033781376,32.76919391504115
770,2018006137.0,1.0,1.0,2.0,4000.0,625.0,,9999.0,,,,,,11.0,2018.0,7.0,65.0,4.0,1.0,1.0,3.0,10.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,8.0,1.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,199040.0,744072.0,34.98649043925473,32.79113104684879
782,2018006211.0,1.0,1.0,2.0,4000.0,1015.0,,9999.0,,,,,,11.0,2018.0,3.0,68.0,4.0,1.0,7.0,2.0,10.0,0.0,5.0,1.0,2.0,4.0,4.0,1.0,1.0,9.0,8.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,202099.0,744686.0,35.01913459731424,32.796719989668034
786,2018006258.0,1.0,1.0,1.0,4000.0,509.0,505.0,,10700311.0,,,,,11.0,2018.0,7.0,61.0,4.0,1.0,1.0,3.0,1.0,0.0,3.0,1.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,4.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,198857.0,747728.0,34.98445568756781,32.82409331548499
810,2018006426.0,1.0,1.0,1.0,4000.0,1015.0,303.0,,18380172.0,,,,,11.0,2018.0,9.0,50.0,2.0,1.0,1.0,2.0,3.0,0.0,2.0,1.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201504.0,745115.0,35.01277411608406,32.80057868173374
822,2018006554.0,1.0,1.0,2.0,4000.0,0.0,,9999.0,,,,,,11.0,2018.0,10.0,48.0,4.0,1.0,4.0,3.0,7.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,2.0,201127.0,745458.0,35.008742339642424,32.803665252263684
824,2018006575.0,1.0,1.0,2.0,4000.0,1045.0,,26.0,,,,,,11.0,2018.0,10.0,34.0,4.0,1.0,5.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,2.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,201748.0,742739.0,35.015424470880276,32.779158451640875
828,2018006609.0,1.0,1.0,1.0,4000.0,864.0,859.0,,8420525.0,,,,,11.0,2018.0,10.0,35.0,4.0,1.0,1.0,3.0,2.0,0.0,4.0,1.0,1.0,2.0,3.0,1.0,1.0,2.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,200178.0,746330.0,34.998591973540925,32.81151172986584
874,2018006918.0,1.0,1.0,1.0,4000.0,360.0,358.0,,18380842.0,,,,,11.0,2018.0,2.0,88.0,4.0,5.0,7.0,3.0,1.0,0.0,2.0,1.0,1.0,2.0,3.0,3.0,2.0,1.0,9.0,9.0,9.0,3.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199737.0,747297.0,34.993862547498736,32.82022320976126
877,2018006936.0,1.0,1.0,2.0,4000.0,554.0,,9999.0,,,,,,11.0,2018.0,8.0,37.0,4.0,1.0,2.0,2.0,1.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,3.0,196295.0,747467.0,34.957102155263115,32.82168885993978
924,2018007284.0,1.0,1.0,1.0,4000.0,930.0,823.0,,8490521.0,,,,,11.0,2018.0,12.0,63.0,4.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,200379.0,745741.0,35.00075030353545,32.8062042974322
986,2018007749.0,1.0,1.0,1.0,4000.0,1128.0,634.0,,18380365.0,,,,,11.0,2018.0,12.0,70.0,4.0,5.0,1.0,3.0,4.0,1.0,0.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199643.0,744433.0,34.992919913308256,32.794397181513254
1019,2018007964.0,1.0,1.0,1.0,4000.0,825.0,810.0,,9630513.0,,,,,11.0,2018.0,6.0,40.0,4.0,1.0,4.0,3.0,2.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199864.0,745922.0,34.995247795004126,32.807827288673195
1035,2018008068.0,1.0,1.0,2.0,4000.0,1391.0,,1.0,,,,,,11.0,2018.0,7.0,45.0,4.0,1.0,2.0,3.0,8.0,1.0,0.0,5.0,1.0,4.0,3.0,1.0,1.0,1.0,6.0,1.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,201602.0,742328.0,35.0138739882193,32.77545013194902
1048,2018008142.0,1.0,1.0,1.0,4000.0,1450.0,975.0,,16960411.0,,,,,11.0,2018.0,8.0,73.0,4.0,1.0,4.0,1.0,2.0,0.0,3.0,3.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199073.0,742664.0,34.986873624084105,32.77843585561363
1070,2018008405.0,1.0,1.0,2.0,4000.0,185.0,,61.0,,,,,,12.0,2018.0,1.0,81.0,4.0,5.0,4.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,2.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,207200.0,746801.0,35.07356473134743,32.81585949221374
1077,2018008502.0,1.0,1.0,2.0,4000.0,1099.0,,9999.0,,,,,,11.0,2018.0,11.0,87.0,4.0,5.0,5.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,202947.0,742961.0,35.028218466867024,32.78117886418824
1081,2018008537.0,1.0,1.0,1.0,4000.0,195.0,288.0,,470131.0,,,,,11.0,2018.0,1.0,62.0,4.0,1.0,3.0,3.0,2.0,3.0,0.0,2.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,205570.0,745683.0,35.056175916809636,32.80575919399899
1120,2018008808.0,1.0,1.0,2.0,4000.0,628.0,,32.0,,,,,,11.0,2018.0,3.0,57.0,4.0,1.0,4.0,2.0,1.0,2.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,199146.0,744427.0,34.9876142495929,32.79433400826456
1122,2018008839.0,1.0,1.0,2.0,4000.0,1022.0,,66.0,,,,,,11.0,2018.0,1.0,64.0,4.0,1.0,6.0,3.0,1.0,3.0,0.0,1.0,1.0,1.0,3.0,1.0,2.0,2.0,9.0,9.0,9.0,1.0,3.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,201646.0,743927.0,35.014312957975,32.789868907665195
1217,2018009529.0,1.0,1.0,1.0,4000.0,464.0,1192.0,,18380271.0,,,,,11.0,2018.0,7.0,4.0,4.0,5.0,1.0,3.0,2.0,0.0,1.0,1.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196817.0,743403.0,34.96277569088266,32.78505521295179
1266,2018009919.0,1.0,1.0,2.0,4000.0,635.0,,132.0,,,,,,11.0,2018.0,8.0,28.0,4.0,1.0,4.0,3.0,11.0,3.0,0.0,1.0,1.0,2.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,199032.0,745396.0,34.98637590303607,32.80306925791087
1270,2018009946.0,1.0,1.0,1.0,4000.0,732.0,554.0,,11130322.0,,,,,11.0,2018.0,8.0,52.0,4.0,1.0,1.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,196974.0,747462.0,34.96435324026277,32.82165788978329
1282,2018010012.0,1.0,1.0,2.0,4000.0,882.0,,2.0,,,,,,11.0,2018.0,1.0,41.0,4.0,1.0,6.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,7.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,200493.0,745966.0,35.001962889590914,32.80823506970447
1303,2018010198.0,1.0,1.0,2.0,4000.0,1035.0,,51.0,,,,,,11.0,2018.0,3.0,35.0,4.0,1.0,2.0,3.0,8.0,0.0,3.0,2.0,1.0,5.0,3.0,1.0,1.0,1.0,8.0,5.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,201048.0,743079.0,35.00794604684618,32.78221271138285
1321,2018010324.0,1.0,1.0,2.0,4000.0,195.0,,9999.0,,,,,,11.0,2018.0,2.0,55.0,4.0,1.0,3.0,3.0,2.0,0.0,2.0,3.0,1.0,4.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,205213.0,745241.0,35.05237099796988,32.80176914862441
1329,2018010441.0,1.0,1.0,2.0,4000.0,1080.0,,22.0,,,,,,11.0,2018.0,1.0,87.0,4.0,5.0,2.0,3.0,7.0,3.0,0.0,1.0,1.0,3.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,202198.0,744250.0,35.0201996212127,32.792790175958686
1369,2018010706.0,1.0,1.0,2.0,4000.0,442.0,,9999.0,,,,,,11.0,2018.0,8.0,85.0,4.0,5.0,1.0,3.0,4.0,1.0,0.0,3.0,1.0,2.0,3.0,3.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,205257.0,745551.0,35.052836023197685,32.80456496116628
1372,2018010721.0,1.0,1.0,1.0,4000.0,512.0,399.0,,180233.0,,,,,11.0,2018.0,2.0,58.0,4.0,1.0,3.0,3.0,1.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,1.0,4.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,199353.0,747141.0,34.98976529662914,32.81880961641525
1373,2018010724.0,1.0,1.0,1.0,4000.0,634.0,628.0,,8820421.0,,,,,11.0,2018.0,5.0,34.0,4.0,1.0,4.0,3.0,1.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,4.0,1.0,3.0,31.0,311.0,0.0,13.0,1.0,199178.0,744595.0,34.987952199923996,32.795849436963266
1386,2018010803.0,1.0,1.0,2.0,4000.0,1012.0,,9999.0,,,,,,11.0,2018.0,6.0,73.0,4.0,1.0,5.0,3.0,3.0,0.0,3.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,3.0,201658.0,744832.0,35.01442370863493,32.79802940405731
1389,2018010813.0,1.0,1.0,1.0,4000.0,702.0,690.0,,150425.0,,,,,11.0,2018.0,6.0,50.0,4.0,1.0,3.0,3.0,1.0,1.0,0.0,1.0,1.0,1.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,3.0,3.0,2.0,3.0,31.0,311.0,0.0,13.0,1.0,198021.0,746130.0,34.97556482784155,32.80966837996717
1450,2018011351.0,1.0,1.0,1.0,4000.0,195.0,212.0,,470131.0,,,,,11.0,2018.0,6.0,25.0,4.0,1.0,6.0,3.0,4.0,0.0,3.0,3.0,1.0,5.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,0.0,0.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,205570.0,745683.0,35.056175916809636,32.80575919399899
1464,2018011452.0,1.0,1.0,1.0,4000.0,276.0,275.0,,17660211.0,,,,,11.0,2018.0,10.0,65.0,4.0,1.0,5.0,3.0,1.0,3.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,9.0,3.0,31.0,311.0,0.0,13.0,1.0,206992.0,746095.0,35.07135314120173,32.80949121514217
